Code géographique 1991;Nom de la municipalité;Population estimée;Latitude;Longitude
1023;Les Îles-de-la-Madeleine;12 086;"47° 22' 34"" N";"61° 52' 05"" O"
1042;Grosse-Île;465;"47° 37' 08"" N";"61° 30' 57"" O"
2005;Percé;3 037;"48° 31' 27"" N";"64° 12' 43"" O"
2010;Sainte-Thérèse-de-Gaspé;1 008;"48° 24' 56"" N";"64° 23' 54"" O"
2015;Grande-Rivière;3 451;"48° 24' 03"" N";"64° 29' 47"" O"
2028;Chandler;7 465;"48° 20' 55"" N";"64° 40' 42"" O"
2047;Port-Daniel--Gascons;2 243;"48° 10' 46"" N";"64° 58' 14"" O"
2902;Mont-Alexandre;0;"48° 32' 21"" N";"64° 56' 34"" O"
3005;Gaspé;14 981;"48° 49' 29"" N";"64° 28' 34"" O"
3010;Cloridorme;656;"49° 10' 51"" N";"64° 50' 59"" O"
3015;Petite-Vallée;167;"49° 13' 07"" N";"65° 02' 05"" O"
3020;Grande-Vallée;1 082;"49° 13' 34"" N";"65° 07' 27"" O"
3025;Murdochville;642;"48° 57' 37"" N";"65° 29' 49"" O"
3902;Rivière-Saint-Jean;0;"48° 53' 06"" N";"65° 02' 04"" O"
3904;Collines-du-Basque;0;"48° 57' 07"" N";"65° 16' 23"" O"
4005;Sainte-Madeleine-de-la-Rivière-Madeleine;291;"49° 14' 54"" N";"65° 21' 11"" O"
4010;Saint-Maxime-du-Mont-Louis;1 106;"49° 13' 44"" N";"65° 43' 53"" O"
4015;Mont-Saint-Pierre;159;"49° 13' 23"" N";"65° 47' 60"" O"
4020;Rivière-à-Claude;125;"49° 13' 06"" N";"65° 53' 42"" O"
4025;Marsoui;273;"49° 12' 54"" N";"66° 04' 01"" O"
4030;La Martre;225;"49° 12' 20"" N";"66° 10' 14"" O"
4037;Sainte-Anne-des-Monts;6 368;"49° 07' 47"" N";"66° 29' 15"" O"
4047;Cap-Chat;2 376;"49° 05' 48"" N";"66° 41' 16"" O"
4902;Mont-Albert;183;"48° 52' 51"" N";"65° 56' 04"" O"
4904;Coulée-des-Adolphe;0;"48° 57' 45"" N";"66° 37' 58"" O"
5010;Shigawake;273;"48° 05' 48"" N";"65° 04' 07"" O"
5015;Saint-Godefroi;346;"48° 04' 33"" N";"65° 06' 47"" O"
5020;Hope Town;358;"48° 03' 01"" N";"65° 09' 30"" O"
5025;Hope;578;"48° 02' 12"" N";"65° 12' 14"" O"
5032;Paspébiac;3 145;"48° 01' 46"" N";"65° 14' 55"" O"
5040;New Carlisle;1 393;"48° 00' 34"" N";"65° 19' 41"" O"
5045;Bonaventure;2 720;"48° 02' 57"" N";"65° 29' 28"" O"
5050;Saint-Elzéar;443;"48° 09' 35"" N";"65° 23' 36"" O"
5055;Saint-Siméon;1 148;"48° 04' 18"" N";"65° 34' 17"" O"
5060;Caplan;2 023;"48° 06' 07"" N";"65° 40' 45"" O"
5065;Saint-Alphonse;692;"48° 11' 15"" N";"65° 37' 26"" O"
5070;New Richmond;3 703;"48° 09' 44"" N";"65° 51' 41"" O"
5077;Cascapédia--Saint-Jules;727;"48° 15' 11"" N";"65° 55' 20"" O"
5902;Rivière-Bonaventure;35;"48° 25' 41"" N";"65° 37' 31"" O"
6005;Maria;2 656;"48° 10' 39"" N";"65° 58' 49"" O"
6013;Carleton-sur-Mer;4 025;"48° 06' 06"" N";"66° 07' 19"" O"
6020;Nouvelle;1 677;"48° 08' 19"" N";"66° 18' 47"" O"
6025;Escuminac;532;"48° 04' 49"" N";"66° 32' 18"" O"
6030;Pointe-à-la-Croix;1 375;"48° 01' 37"" N";"66° 41' 59"" O"
6035;Ristigouche-Partie-Sud-Est;169;"48° 00' 34"" N";"66° 46' 11"" O"
6040;Saint-André-de-Restigouche;159;"48° 03' 46"" N";"66° 56' 56"" O"
6045;Matapédia;636;"47° 58' 29"" N";"66° 56' 27"" O"
6050;Saint-Alexis-de-Matapédia;499;"47° 58' 08"" N";"67° 03' 06"" O"
6055;Saint-François-d'Assise;644;"47° 58' 57"" N";"67° 09' 26"" O"
6060;L'Ascension-de-Patapédia;162;"47° 55' 57"" N";"67° 14' 60"" O"
6802;Gesgapegiag;665;"48° 11' 57"" N";"65° 55' 07"" O"
6804;Listuguj;1 537;"48° 00' 47"" N";"66° 42' 19"" O"
6902;Rivière-Nouvelle;0;"48° 19' 00"" N";"66° 34' 29"" O"
6904;Ruisseau-Ferguson;0;"48° 01' 31"" N";"67° 27' 01"" O"
7005;Sainte-Marguerite-Marie;167;"48° 19' 06"" N";"67° 04' 56"" O"
7010;Sainte-Florence;376;"48° 15' 50"" N";"67° 14' 12"" O"
7018;Causapscal;2 300;"48° 21' 17"" N";"67° 13' 19"" O"
7025;Albertville;222;"48° 19' 34"" N";"67° 21' 30"" O"
7030;Saint-Léon-le-Grand;948;"48° 22' 48"" N";"67° 30' 22"" O"
7035;Saint-Zénon-du-Lac-Humqui;353;"48° 18' 18"" N";"67° 34' 45"" O"
7040;Sainte-Irène;318;"48° 26' 08"" N";"67° 35' 44"" O"
7047;Amqui;6 093;"48° 27' 43"" N";"67° 25' 56"" O"
7057;Lac-au-Saumon;1 393;"48° 25' 14"" N";"67° 20' 43"" O"
7065;Saint-Alexandre-des-Lacs;283;"48° 28' 34"" N";"67° 18' 20"" O"
7070;Saint-Tharcisius;425;"48° 32' 47"" N";"67° 20' 26"" O"
7075;Saint-Vianney;419;"48° 37' 03"" N";"67° 24' 42"" O"
7080;Val-Brillant;896;"48° 32' 02"" N";"67° 32' 54"" O"
7085;Sayabec;1 782;"48° 33' 55"" N";"67° 41' 06"" O"
7090;Saint-Cléophas;335;"48° 29' 34"" N";"67° 44' 36"" O"
7095;Saint-Moïse;554;"48° 33' 04"" N";"67° 51' 05"" O"
7100;Saint-Noël;411;"48° 35' 02"" N";"67° 50' 05"" O"
7105;Saint-Damase;349;"48° 39' 40"" N";"67° 49' 36"" O"
7902;Routhierville;16;"48° 10' 05"" N";"67° 06' 53"" O"
7904;Rivière-Vaseuse;0;"48° 13' 27"" N";"67° 28' 39"" O"
7906;Rivière-Patapédia-Est;0;"48° 08' 27"" N";"67° 38' 45"" O"
7908;Lac-Casault;0;"48° 29' 06"" N";"66° 38' 33"" O"
7910;Ruisseau-des-Mineurs;0;"48° 36' 54"" N";"66° 41' 55"" O"
7912;Lac-Alfred;0;"48° 23' 12"" N";"67° 44' 32"" O"
7914;Lac-Matapédia;7;"48° 34' 19"" N";"67° 30' 54"" O"
8005;Les Méchins;965;"48° 59' 52"" N";"66° 58' 49"" O"
8010;Saint-Jean-de-Cherbourg;165;"48° 51' 31"" N";"67° 06' 41"" O"
8015;Grosses-Roches;387;"48° 56' 23"" N";"67° 10' 25"" O"
8023;Sainte-Félicité;1 099;"48° 53' 55"" N";"67° 20' 02"" O"
8030;Saint-Adelme;517;"48° 49' 27"" N";"67° 19' 14"" O"
8035;Saint-René-de-Matane;969;"48° 42' 18"" N";"67° 23' 08"" O"
8040;Sainte-Paule;242;"48° 39' 35"" N";"67° 33' 27"" O"
8053;Matane;14 164;"48° 50' 36"" N";"67° 31' 50"" O"
8065;Saint-Léandre;380;"48° 43' 51"" N";"67° 36' 21"" O"
8073;Saint-Ulric;1 551;"48° 47' 15"" N";"67° 41' 57"" O"
8080;Baie-des-Sables;630;"48° 43' 15"" N";"67° 53' 38"" O"
8902;Rivière-Bonjour;0;"48° 44' 50"" N";"66° 43' 25"" O"
9005;La Rédemption;437;"48° 26' 40"" N";"67° 52' 40"" O"
9010;Saint-Charles-Garnier;238;"48° 20' 28"" N";"68° 02' 40"" O"
9015;Les Hauteurs;484;"48° 22' 41"" N";"68° 06' 49"" O"
9020;Sainte-Jeanne-d'Arc;280;"48° 29' 37"" N";"67° 57' 23"" O"
9025;Saint-Gabriel-de-Rimouski;1 134;"48° 25' 53"" N";"68° 09' 50"" O"
9030;Saint-Donat;848;"48° 29' 44"" N";"68° 14' 39"" O"
9035;Sainte-Angèle-de-Mérici;937;"48° 31' 36"" N";"68° 04' 60"" O"
9040;Padoue;240;"48° 34' 45"" N";"67° 59' 17"" O"
9048;Métis-sur-Mer;555;"48° 41' 01"" N";"67° 57' 49"" O"
9055;Saint-Octave-de-Métis;505;"48° 36' 01"" N";"68° 04' 49"" O"
9060;Grand-Métis;211;"48° 36' 57"" N";"68° 06' 31"" O"
9065;Price;1 750;"48° 36' 07"" N";"68° 07' 23"" O"
9070;Saint-Joseph-de-Lepage;541;"48° 34' 37"" N";"68° 10' 05"" O"
9077;Mont-Joli;6 199;"48° 35' 07"" N";"68° 11' 21"" O"
9085;Sainte-Flavie;885;"48° 36' 38"" N";"68° 13' 39"" O"
9092;Sainte-Luce;2 805;"48° 32' 47"" N";"68° 23' 40"" O"
9902;Lac-des-Eaux-Mortes;0;"48° 10' 20"" N";"67° 54' 02"" O"
9904;Lac-à-la-Croix;0;"48° 17' 20"" N";"67° 46' 09"" O"
10005;Esprit-Saint;331;"48° 04' 02"" N";"68° 33' 46"" O"
10010;La Trinité-des-Monts;227;"48° 07' 40"" N";"68° 28' 29"" O"
10015;Saint-Narcisse-de-Rimouski;983;"48° 17' 08"" N";"68° 26' 19"" O"
10025;Saint-Marcellin;341;"48° 20' 07"" N";"68° 17' 32"" O"
10030;Saint-Anaclet-de-Lessard;3 065;"48° 28' 20"" N";"68° 26' 05"" O"
10043;Rimouski;49 163;"48° 26' 57"" N";"68° 31' 30"" O"
10060;Saint-Valérien;836;"48° 20' 19"" N";"68° 39' 25"" O"
10070;Saint-Fabien;1 788;"48° 17' 39"" N";"68° 52' 01"" O"
10075;Saint-Eugène-de-Ladrière;389;"48° 14' 52"" N";"68° 48' 03"" O"
10902;Lac-Huron;10;"48° 04' 51"" N";"68° 13' 19"" O"
11005;Saint-Clément;466;"47° 55' 25"" N";"69° 05' 50"" O"
11010;Saint-Jean-de-Dieu;1 605;"48° 00' 04"" N";"69° 02' 48"" O"
11015;Sainte-Rita;303;"47° 56' 54"" N";"68° 54' 45"" O"
11020;Saint-Guy;53;"48° 02' 07"" N";"68° 47' 09"" O"
11025;Saint-Médard;202;"48° 02' 50"" N";"68° 53' 56"" O"
11030;Sainte-Françoise;388;"48° 05' 43"" N";"69° 04' 04"" O"
11035;Saint-Éloi;288;"48° 02' 13"" N";"69° 13' 41"" O"
11040;Trois-Pistoles;3 207;"48° 07' 32"" N";"69° 10' 31"" O"
11045;Notre-Dame-des-Neiges;1 058;"48° 06' 51"" N";"69° 09' 26"" O"
11050;Saint-Mathieu-de-Rioux;660;"48° 11' 02"" N";"68° 59' 05"" O"
11055;Saint-Simon;421;"48° 12' 07"" N";"69° 02' 37"" O"
11902;Lac-Boisbouscache;0;"48° 07' 40"" N";"68° 53' 02"" O"
12005;Saint-Cyprien;1 063;"47° 53' 44"" N";"69° 01' 27"" O"
12010;Saint-Hubert-de-Rivière-du-Loup;1 337;"47° 48' 57"" N";"69° 08' 52"" O"
12015;Saint-Antonin;4 197;"47° 45' 52"" N";"69° 28' 32"" O"
12020;Saint-Modeste;1 157;"47° 49' 50"" N";"69° 24' 15"" O"
12025;Saint-François-Xavier-de-Viger;249;"47° 51' 23"" N";"69° 14' 43"" O"
12030;Saint-Épiphane;830;"47° 53' 45"" N";"69° 19' 45"" O"
12035;Saint-Paul-de-la-Croix;300;"47° 57' 12"" N";"69° 11' 39"" O"
12043;L'Isle-Verte;1 283;"48° 00' 55"" N";"69° 20' 05"" O"
12045;Notre-Dame-des-Sept-Douleurs;36;"48° 00' 35"" N";"69° 27' 19"" O"
12057;Cacouna;1 819;"47° 54' 59"" N";"69° 29' 59"" O"
12065;Saint-Arsène;1 226;"47° 54' 48"" N";"69° 26' 02"" O"
12072;Rivière-du-Loup;19 917;"47° 50' 10"" N";"69° 32' 12"" O"
12080;Notre-Dame-du-Portage;1 132;"47° 45' 56"" N";"69° 36' 35"" O"
12802;Whitworth;0;"47° 42' 05"" N";"69° 16' 27"" O"
